Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,scouting_report
1208,Jonathan Ikone,fr FRA,FW,Como,it Serie A,26.0,1998.0,13,5,540,6.0,2,0,2,2,0,0,1,0,1.8,1.8,0.2,1.9,23,17,55,0.33,0.0,0.33,0.33,0.33,0.29,0.03,0.32,0.29,0.32,Scouting Report for Jonathan Ikone. Team: Como. Position: FW. Age: 26.0. Nation: fr FRA. Matches Played: 13. Minutes: 540. Goals: 2. Assists: 0. Non-Penalty xG (npxG): 1.8. Expected Assists (xAG): 0.2. Progressive Carries: 23. Progressive Passes: 17. 
1209,Jonathan Ikone,fr FRA,"FW,MF",Fiorentina,it Serie A,26.0,1998.0,14,1,334,3.7,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,12,13,39,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.23,0.21,0.23,"Scouting Report for Jonathan Ikone. Team: Fiorentina. Position: FW,MF. Age: 26.0. Nation: fr FRA. Matches Played: 14. Minutes: 334. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 0.1. Progressive Carries: 12. Progressive Passes: 13. "
1210,George Ilenikhena,ng NGA,FW,Monaco,fr Ligue 1,17.0,2006.0,23,6,717,8.0,3,2,5,3,0,0,0,0,5.1,5.1,1.4,6.5,8,10,58,0.38,0.25,0.63,0.38,0.63,0.64,0.18,0.81,0.64,0.81,Scouting Report for George Ilenikhena. Team: Monaco. Position: FW. Age: 17.0. Nation: ng NGA. Matches Played: 23. Minutes: 717. Goals: 3. Assists: 2. Non-Penalty xG (npxG): 5.1. Expected Assists (xAG): 1.4. Progressive Carries: 8. Progressive Passes: 10. 
1211,Andrej Ilic,rs SRB,FW,Union Berlin,de Bundesliga,24.0,2000.0,16,11,937,10.4,7,0,7,6,1,1,1,0,4.9,4.1,0.3,4.4,5,13,59,0.67,0.0,0.67,0.58,0.58,0.47,0.03,0.5,0.39,0.42,Scouting Report for Andrej Ilic. Team: Union Berlin. Position: FW. Age: 24.0. Nation: rs SRB. Matches Played: 16. Minutes: 937. Goals: 7. Assists: 0. Non-Penalty xG (npxG): 4.1. Expected Assists (xAG): 0.3. Progressive Carries: 5. Progressive Passes: 13. 
1212,Ivan Ilić,rs SRB,MF,Torino,it Serie A,23.0,2001.0,19,9,920,10.2,1,0,1,1,0,0,4,0,0.9,0.9,1.1,2.1,24,45,41,0.1,0.0,0.1,0.1,0.1,0.09,0.11,0.2,0.09,0.2,Scouting Report for Ivan Ilić. Team: Torino. Position: MF. Age: 23.0. Nation: rs SRB. Matches Played: 19. Minutes: 920. Goals: 1. Assists: 0. Non-Penalty xG (npxG): 0.9. Expected Assists (xAG): 1.1. Progressive Carries: 24. Progressive Passes: 45. 
1215,Danny Ings,eng ENG,"FW,MF",West Ham,eng Premier League,32.0,1992.0,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,"Scouting Report for Danny Ings. Team: West Ham. Position: FW,MF. Age: 32.0. Nation: eng ENG. Matches Played: 15. Minutes: 284. Goals: 1. Assists: 2. Non-Penalty xG (npxG): 2.3. Expected Assists (xAG): 1.3. Progressive Carries: 6. Progressive Passes: 5. "
1216,Alessio Iovine,it ITA,"DF,FW",Como,it Serie A,33.0,1991.0,10,3,387,4.3,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,9,6,8,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,"Scouting Report for Alessio Iovine. Team: Como. Position: DF,FW. Age: 33.0. Nation: it ITA. Matches Played: 10. Minutes: 387. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.2. Progressive Carries: 9. Progressive Passes: 6. "
1217,Tim Iroegbunam,eng ENG,MF,Everton,eng Premier League,21.0,2003.0,18,5,574,6.4,0,1,1,0,0,0,4,0,0.2,0.2,0.2,0.4,8,15,9,0.0,0.16,0.16,0.0,0.16,0.04,0.03,0.07,0.04,0.07,Scouting Report for Tim Iroegbunam. Team: Everton. Position: MF. Age: 21.0. Nation: eng ENG. Matches Played: 18. Minutes: 574. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.2. Expected Assists (xAG): 0.2. Progressive Carries: 8. Progressive Passes: 15. 
1218,Jackson Irvine,au AUS,MF,St. Pauli,de Bundesliga,31.0,1993.0,29,29,2610,29.0,0,6,6,0,0,0,2,0,3.2,3.0,3.9,7.0,19,117,58,0.0,0.21,0.21,0.0,0.21,0.11,0.14,0.25,0.1,0.24,Scouting Report for Jackson Irvine. Team: St. Pauli. Position: MF. Age: 31.0. Nation: au AUS. Matches Played: 29. Minutes: 2610. Goals: 0. Assists: 6. Non-Penalty xG (npxG): 3.0. Expected Assists (xAG): 3.9. Progressive Carries: 19. Progressive Passes: 117. 
1220,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,24.0,1999.0,34,34,2756,30.6,23,6,29,19,4,4,1,0,20.3,17.2,4.3,21.6,83,88,217,0.75,0.2,0.95,0.62,0.82,0.66,0.14,0.81,0.56,0.7,Scouting Report for Alexander Isak. Team: Newcastle Utd. Position: FW. Age: 24.0. Nation: se SWE. Matches Played: 34. Minutes: 2756. Goals: 23. Assists: 6. Non-Penalty xG (npxG): 17.2. Expected Assists (xAG): 4.3. Progressive Carries: 83. Progressive Passes: 88. 
1221,Gustav Isaksen,dk DEN,FW,Lazio,it Serie A,23.0,2001.0,37,29,2210,24.6,4,2,6,4,0,0,5,0,5.2,5.2,2.1,7.3,95,46,249,0.16,0.08,0.24,0.16,0.24,0.21,0.09,0.3,0.21,0.3,Scouting Report for Gustav Isaksen. Team: Lazio. Position: FW. Age: 23.0. Nation: dk DEN. Matches Played: 37. Minutes: 2210. Goals: 4. Assists: 2. Non-Penalty xG (npxG): 5.2. Expected Assists (xAG): 2.1. Progressive Carries: 95. Progressive Passes: 46. 
1222,Isco,es ESP,MF,Betis,es La Liga,32.0,1992.0,22,17,1547,17.2,9,8,17,4,5,6,5,0,8.6,3.9,4.4,8.2,38,152,112,0.52,0.47,0.99,0.23,0.7,0.5,0.25,0.76,0.22,0.48,Scouting Report for Isco. Team: Betis. Position: MF. Age: 32.0. Nation: es ESP. Matches Played: 22. Minutes: 1547. Goals: 9. Assists: 8. Non-Penalty xG (npxG): 3.9. Expected Assists (xAG): 4.4. Progressive Carries: 38. Progressive Passes: 152. 
1223,Ismaily,br BRA,DF,Lille,fr Ligue 1,34.0,1990.0,16,10,904,10.0,0,1,1,0,0,0,4,0,0.7,0.7,1.0,1.7,15,54,51,0.0,0.1,0.1,0.0,0.1,0.07,0.1,0.17,0.07,0.17,Scouting Report for Ismaily. Team: Lille. Position: DF. Age: 34.0. Nation: br BRA. Matches Played: 16. Minutes: 904. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.7. Expected Assists (xAG): 1.0. Progressive Carries: 15. Progressive Passes: 54. 
1224,Ardian Ismajli,al ALB,DF,Empoli,it Serie A,27.0,1996.0,29,29,2508,27.9,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.4,3,38,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Scouting Report for Ardian Ismajli. Team: Empoli. Position: DF. Age: 27.0. Nation: al ALB. Matches Played: 29. Minutes: 2508. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.3. Expected Assists (xAG): 0.0. Progressive Carries: 3. Progressive Passes: 38. 
1226,Ko Itakura,jp JPN,DF,Gladbach,de Bundesliga,27.0,1997.0,31,31,2790,31.0,3,0,3,3,0,0,5,0,1.6,1.6,0.8,2.5,23,69,5,0.1,0.0,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Scouting Report for Ko Itakura. Team: Gladbach. Position: DF. Age: 27.0. Nation: jp JPN. Matches Played: 31. Minutes: 2790. Goals: 3. Assists: 0. Non-Penalty xG (npxG): 1.6. Expected Assists (xAG): 0.8. Progressive Carries: 23. Progressive Passes: 69. 
1227,Hiroki Ito,jp JPN,DF,Bayern Munich,de Bundesliga,25.0,1999.0,6,3,250,2.8,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.8,3,18,6,0.36,0.0,0.36,0.36,0.36,0.13,0.14,0.27,0.13,0.27,Scouting Report for Hiroki Ito. Team: Bayern Munich. Position: DF. Age: 25.0. Nation: jp JPN. Matches Played: 6. Minutes: 250. Goals: 1. Assists: 0. Non-Penalty xG (npxG): 0.4. Expected Assists (xAG): 0.4. Progressive Carries: 3. Progressive Passes: 18. 
1228,Junya Ito,jp JPN,"FW,MF",Reims,fr Ligue 1,31.0,1993.0,33,31,2690,29.9,4,3,7,4,0,0,1,0,4.6,4.6,7.1,11.7,100,133,256,0.13,0.1,0.23,0.13,0.23,0.16,0.24,0.39,0.16,0.39,"Scouting Report for Junya Ito. Team: Reims. Position: FW,MF. Age: 31.0. Nation: jp JPN. Matches Played: 33. Minutes: 2690. Goals: 4. Assists: 3. Non-Penalty xG (npxG): 4.6. Expected Assists (xAG): 7.1. Progressive Carries: 100. Progressive Passes: 133. "
1230,Marko Ivezić,rs SRB,DF,Holstein Kiel,de Bundesliga,22.0,2001.0,23,18,1657,18.4,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.8,3,40,9,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Scouting Report for Marko Ivezić. Team: Holstein Kiel. Position: DF. Age: 22.0. Nation: rs SRB. Matches Played: 23. Minutes: 1657. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.6. Expected Assists (xAG): 0.2. Progressive Carries: 3. Progressive Passes: 40. 
1231,Alex Iwobi,ng NGA,"FW,MF",Fulham,eng Premier League,28.0,1996.0,38,35,2981,33.1,9,6,15,9,0,0,1,0,4.7,4.7,7.0,11.8,144,213,246,0.27,0.18,0.45,0.27,0.45,0.14,0.21,0.36,0.14,0.36,"Scouting Report for Alex Iwobi. Team: Fulham. Position: FW,MF. Age: 28.0. Nation: ng NGA. Matches Played: 38. Minutes: 2981. Goals: 9. Assists: 6. Non-Penalty xG (npxG): 4.7. Expected Assists (xAG): 7.0. Progressive Carries: 144. Progressive Passes: 213. "
1232,Armando Izzo,it ITA,DF,Monza,it Serie A,32.0,1992.0,30,28,2435,27.1,1,1,2,1,0,0,12,0,0.4,0.4,0.8,1.2,12,72,12,0.04,0.04,0.07,0.04,0.07,0.02,0.03,0.05,0.02,0.05,Scouting Report for Armando Izzo. Team: Monza. Position: DF. Age: 32.0. Nation: it ITA. Matches Played: 30. Minutes: 2435. Goals: 1. Assists: 1. Non-Penalty xG (npxG): 0.4. Expected Assists (xAG): 0.8. Progressive Carries: 12. Progressive Passes: 72. 
1234,Nicolas Jackson,sn SEN,FW,Chelsea,eng Premier League,23.0,2001.0,30,28,2220,24.7,10,5,15,10,0,0,7,1,12.3,12.3,4.3,16.6,47,38,129,0.41,0.2,0.61,0.41,0.61,0.5,0.17,0.67,0.5,0.67,Scouting Report for Nicolas Jackson. Team: Chelsea. Position: FW. Age: 23.0. Nation: sn SEN. Matches Played: 30. Minutes: 2220. Goals: 10. Assists: 5. Non-Penalty xG (npxG): 12.3. Expected Assists (xAG): 4.3. Progressive Carries: 47. Progressive Passes: 38. 
1235,Jérémy Jacquet,fr FRA,DF,Rennes,fr Ligue 1,19.0,2005.0,11,11,927,10.3,0,1,1,0,0,0,0,0,0.8,0.8,0.8,1.6,8,40,4,0.0,0.1,0.1,0.0,0.1,0.08,0.08,0.16,0.08,0.16,Scouting Report for Jérémy Jacquet. Team: Rennes. Position: DF. Age: 19.0. Nation: fr FRA. Matches Played: 11. Minutes: 927. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 0.8. Progressive Carries: 8. Progressive Passes: 40. 
1236,Lee Jae-sung,kr KOR,MF,Mainz 05,de Bundesliga,31.0,1992.0,33,31,2650,29.4,7,6,13,7,0,0,4,0,5.3,5.3,5.0,10.3,28,105,165,0.24,0.2,0.44,0.24,0.44,0.18,0.17,0.35,0.18,0.35,Scouting Report for Lee Jae-sung. Team: Mainz 05. Position: MF. Age: 31.0. Nation: kr KOR. Matches Played: 33. Minutes: 2650. Goals: 7. Assists: 6. Non-Penalty xG (npxG): 5.3. Expected Assists (xAG): 5.0. Progressive Carries: 28. Progressive Passes: 105. 
1237,Ivan Jaime Pajuelo,es ESP,MF,Valencia,es La Liga,23.0,2000.0,9,2,297,3.3,0,0,0,0,0,0,0,0,0.6,0.6,0.3,1.0,8,15,14,0.0,0.0,0.0,0.0,0.0,0.19,0.1,0.3,0.19,0.3,Scouting Report for Ivan Jaime Pajuelo. Team: Valencia. Position: MF. Age: 23.0. Nation: es ESP. Matches Played: 9. Minutes: 297. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.6. Expected Assists (xAG): 0.3. Progressive Carries: 8. Progressive Passes: 15. 
1238,Kristijan Jakić,hr CRO,MF,Augsburg,de Bundesliga,27.0,1997.0,31,27,2306,25.6,0,1,1,0,0,0,2,0,0.8,0.8,1.2,2.0,24,106,49,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,Scouting Report for Kristijan Jakić. Team: Augsburg. Position: MF. Age: 27.0. Nation: hr CRO. Matches Played: 31. Minutes: 2306. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 1.2. Progressive Carries: 24. Progressive Passes: 106. 
1239,Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,22.0,2002.0,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scouting Report for Karl Jakob Hein. Team: Valladolid. Position: GK. Age: 22.0. Nation: ee EST. Matches Played: 31. Minutes: 2790. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.0. Progressive Carries: 0. Progressive Passes: 0. 
1240,Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,24.0,1999.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,9,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Scouting Report for Ismail Jakobs. Team: Monaco. Position: DF. Age: 24.0. Nation: sn SEN. Matches Played: 2. Minutes: 180. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.2. Progressive Carries: 9. Progressive Passes: 6. 
1241,Jordan James,wls WAL,MF,Rennes,fr Ligue 1,20.0,2004.0,23,14,1178,13.1,0,1,1,0,0,0,4,0,0.9,0.9,1.9,2.8,21,67,15,0.0,0.08,0.08,0.0,0.08,0.07,0.15,0.21,0.07,0.21,Scouting Report for Jordan James. Team: Rennes. Position: MF. Age: 20.0. Nation: wls WAL. Matches Played: 23. Minutes: 1178. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.9. Expected Assists (xAG): 1.9. Progressive Carries: 21. Progressive Passes: 67. 
1242,Reece James,eng ENG,"DF,MF",Chelsea,eng Premier League,24.0,1999.0,19,12,1063,11.8,1,1,2,1,0,0,1,0,0.4,0.4,0.7,1.1,7,64,12,0.08,0.08,0.17,0.08,0.17,0.04,0.06,0.1,0.04,0.1,"Scouting Report for Reece James. Team: Chelsea. Position: DF,MF. Age: 24.0. Nation: eng ENG. Matches Played: 19. Minutes: 1063. Goals: 1. Assists: 1. Non-Penalty xG (npxG): 0.4. Expected Assists (xAG): 0.7. Progressive Carries: 7. Progressive Passes: 64. "
1243,Vitaly Janelt,de GER,MF,Brentford,eng Premier League,26.0,1998.0,32,27,2254,25.0,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,80,38,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,Scouting Report for Vitaly Janelt. Team: Brentford. Position: MF. Age: 26.0. Nation: de GER. Matches Played: 32. Minutes: 2254. Goals: 1. Assists: 3. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 2.2. Progressive Carries: 17. Progressive Passes: 80. 
1244,Adnan Januzaj,be BEL,"MF,FW",Las Palmas,es La Liga,29.0,1995.0,18,5,598,6.6,2,1,3,2,0,0,5,0,0.8,0.8,1.1,1.9,24,41,58,0.3,0.15,0.45,0.3,0.45,0.13,0.16,0.29,0.13,0.29,"Scouting Report for Adnan Januzaj. Team: Las Palmas. Position: MF,FW. Age: 29.0. Nation: be BEL. Matches Played: 18. Minutes: 598. Goals: 2. Assists: 1. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 1.1. Progressive Carries: 24. Progressive Passes: 41. "
1245,Luca Jaquez,ch SUI,DF,Stuttgart,de Bundesliga,21.0,2003.0,5,2,253,2.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,18,0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Scouting Report for Luca Jaquez. Team: Stuttgart. Position: DF. Age: 21.0. Nation: ch SUI. Matches Played: 5. Minutes: 253. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.2. Expected Assists (xAG): 0.0. Progressive Carries: 5. Progressive Passes: 18. 
1248,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,20.0,2003.0,34,25,2244,24.9,2,1,3,2,0,0,4,1,1.1,1.1,1.4,2.5,14,118,31,0.08,0.04,0.12,0.08,0.12,0.04,0.06,0.1,0.04,0.1,Scouting Report for Mikel Jauregizar. Team: Athletic Club. Position: MF. Age: 20.0. Nation: es ESP. Matches Played: 34. Minutes: 2244. Goals: 2. Assists: 1. Non-Penalty xG (npxG): 1.1. Expected Assists (xAG): 1.4. Progressive Carries: 14. Progressive Passes: 118. 
1249,Dominik Javorček,sk SVK,"DF,MF",Holstein Kiel,de Bundesliga,21.0,2002.0,13,4,386,4.3,0,2,2,0,0,0,2,0,0.0,0.0,1.0,1.0,7,4,23,0.0,0.47,0.47,0.0,0.47,0.0,0.23,0.24,0.0,0.24,"Scouting Report for Dominik Javorček. Team: Holstein Kiel. Position: DF,MF. Age: 21.0. Nation: sk SVK. Matches Played: 13. Minutes: 386. Goals: 0. Assists: 2. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 1.0. Progressive Carries: 7. Progressive Passes: 4. "
1250,Gaby Jean,fr FRA,DF,Lecce,it Serie A,24.0,2000.0,19,16,1388,15.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,42,3,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Scouting Report for Gaby Jean. Team: Lecce. Position: DF. Age: 24.0. Nation: fr FRA. Matches Played: 19. Minutes: 1388. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.1. Expected Assists (xAG): 0.1. Progressive Carries: 8. Progressive Passes: 42. 
1252,Finn Jeltsch,de GER,DF,Stuttgart,de Bundesliga,18.0,2006.0,12,9,780,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,8,31,5,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Scouting Report for Finn Jeltsch. Team: Stuttgart. Position: DF. Age: 18.0. Nation: de GER. Matches Played: 12. Minutes: 780. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.1. Expected Assists (xAG): 0.1. Progressive Carries: 8. Progressive Passes: 31. 
1254,Fredrik Jensen,fi FIN,MF,Augsburg,de Bundesliga,26.0,1997.0,20,9,763,8.5,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,16,20,58,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,Scouting Report for Fredrik Jensen. Team: Augsburg. Position: MF. Age: 26.0. Nation: fi FIN. Matches Played: 20. Minutes: 763. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.7. Expected Assists (xAG): 0.7. Progressive Carries: 16. Progressive Passes: 20. 
1255,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,28.0,1996.0,24,8,862,9.6,0,2,2,0,0,0,2,0,0.2,0.2,1.7,1.9,6,61,27,0.0,0.21,0.21,0.0,0.21,0.03,0.17,0.2,0.03,0.2,Scouting Report for Mathias Jensen. Team: Brentford. Position: MF. Age: 28.0. Nation: dk DEN. Matches Played: 24. Minutes: 862. Goals: 0. Assists: 2. Non-Penalty xG (npxG): 0.2. Expected Assists (xAG): 1.7. Progressive Carries: 6. Progressive Passes: 61. 
1256,Moritz Jenz,de GER,DF,Mainz 05,de Bundesliga,25.0,1999.0,19,18,1600,17.8,0,0,0,0,0,0,4,0,1.6,1.6,0.3,1.8,1,47,3,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,Scouting Report for Moritz Jenz. Team: Mainz 05. Position: DF. Age: 25.0. Nation: de GER. Matches Played: 19. Minutes: 1600. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 1.6. Expected Assists (xAG): 0.3. Progressive Carries: 1. Progressive Passes: 47. 
1257,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,27.0,1997.0,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,Scouting Report for Gabriel Jesus. Team: Arsenal. Position: FW. Age: 27.0. Nation: br BRA. Matches Played: 17. Minutes: 608. Goals: 3. Assists: 0. Non-Penalty xG (npxG): 3.0. Expected Assists (xAG): 0.7. Progressive Carries: 15. Progressive Passes: 19. 
1258,Juan Jesus,br BRA,DF,Napoli,it Serie A,33.0,1991.0,15,12,1074,11.9,0,1,1,0,0,0,2,0,0.3,0.3,0.0,0.4,3,50,2,0.0,0.08,0.08,0.0,0.08,0.03,0.0,0.03,0.03,0.03,Scouting Report for Juan Jesus. Team: Napoli. Position: DF. Age: 33.0. Nation: br BRA. Matches Played: 15. Minutes: 1074. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.3. Expected Assists (xAG): 0.0. Progressive Carries: 3. Progressive Passes: 50. 
1259,Alejandro Jiménez,es ESP,"DF,FW",Milan,it Serie A,19.0,2005.0,22,14,1266,14.1,0,1,1,0,0,0,6,0,0.8,0.8,1.3,2.1,55,37,72,0.0,0.07,0.07,0.0,0.07,0.06,0.09,0.15,0.06,0.15,"Scouting Report for Alejandro Jiménez. Team: Milan. Position: DF,FW. Age: 19.0. Nation: es ESP. Matches Played: 22. Minutes: 1266. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 1.3. Progressive Carries: 55. Progressive Passes: 37. "
1260,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,33.0,1991.0,38,30,2494,27.7,12,3,15,9,3,3,4,0,12.0,9.6,3.3,12.9,35,62,125,0.43,0.11,0.54,0.32,0.43,0.43,0.12,0.55,0.35,0.47,Scouting Report for Raúl Jiménez. Team: Fulham. Position: FW. Age: 33.0. Nation: mx MEX. Matches Played: 38. Minutes: 2494. Goals: 12. Assists: 3. Non-Penalty xG (npxG): 9.6. Expected Assists (xAG): 3.3. Progressive Carries: 35. Progressive Passes: 62. 
1262,João Pedro,br BRA,"FW,MF",Brighton,eng Premier League,22.0,2001.0,27,23,1948,21.6,10,6,16,5,5,5,4,1,8.9,5.0,5.0,10.0,66,78,128,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46,"Scouting Report for João Pedro. Team: Brighton. Position: FW,MF. Age: 22.0. Nation: br BRA. Matches Played: 27. Minutes: 1948. Goals: 10. Assists: 6. Non-Penalty xG (npxG): 5.0. Expected Assists (xAG): 5.0. Progressive Carries: 66. Progressive Passes: 78. "
1264,John Joe,ie IRL,MF,Reims,fr Ligue 1,20.0,2003.0,13,5,545,6.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,14,9,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Scouting Report for John Joe. Team: Reims. Position: MF. Age: 20.0. Nation: ie IRL. Matches Played: 13. Minutes: 545. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.2. Expected Assists (xAG): 0.0. Progressive Carries: 6. Progressive Passes: 14. 
1265,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,27.0,1996.0,29,29,2393,26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,"Scouting Report for Joelinton. Team: Newcastle Utd. Position: MF,FW. Age: 27.0. Nation: br BRA. Matches Played: 29. Minutes: 2393. Goals: 4. Assists: 3. Non-Penalty xG (npxG): 3.9. Expected Assists (xAG): 2.5. Progressive Carries: 40. Progressive Passes: 116. "
1266,Jofre,es ESP,"MF,FW",Espanyol,es La Liga,23.0,2001.0,37,26,2165,24.1,3,3,6,3,0,0,5,0,2.5,2.5,2.5,5.0,65,48,156,0.12,0.12,0.25,0.12,0.25,0.11,0.1,0.21,0.11,0.21,"Scouting Report for Jofre. Team: Espanyol. Position: MF,FW. Age: 23.0. Nation: es ESP. Matches Played: 37. Minutes: 2165. Goals: 3. Assists: 3. Non-Penalty xG (npxG): 2.5. Expected Assists (xAG): 2.5. Progressive Carries: 65. Progressive Passes: 48. "
1267,Þórir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,23.0,2000.0,21,13,1156,12.8,0,4,4,0,0,0,0,0,1.2,1.2,1.1,2.3,20,38,58,0.0,0.31,0.31,0.0,0.31,0.09,0.09,0.18,0.09,0.18,Scouting Report for Þórir Jóhann Helgason. Team: Lecce. Position: MF. Age: 23.0. Nation: is ISL. Matches Played: 21. Minutes: 1156. Goals: 0. Assists: 4. Non-Penalty xG (npxG): 1.2. Expected Assists (xAG): 1.1. Progressive Carries: 20. Progressive Passes: 38. 
1268,Carl Johansson,se SWE,DF,Holstein Kiel,de Bundesliga,30.0,1994.0,10,7,568,6.3,0,0,0,0,0,0,0,1,0.0,0.0,0.4,0.5,0,12,0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Scouting Report for Carl Johansson. Team: Holstein Kiel. Position: DF. Age: 30.0. Nation: se SWE. Matches Played: 10. Minutes: 568. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.4. Progressive Carries: 0. Progressive Passes: 12. 
1269,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,eng Premier League,24.0,2000.0,23,14,1354,15.0,1,2,3,1,0,0,5,1,1.1,1.1,1.3,2.3,16,27,33,0.07,0.13,0.2,0.07,0.2,0.07,0.09,0.16,0.07,0.16,"Scouting Report for Ben Johnson. Team: Ipswich Town. Position: DF,FW. Age: 24.0. Nation: eng ENG. Matches Played: 23. Minutes: 1354. Goals: 1. Assists: 2. Non-Penalty xG (npxG): 1.1. Expected Assists (xAG): 1.3. Progressive Carries: 16. Progressive Passes: 27. "
